Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,F:Coarse Aggregate,Fine Aggregate,Age,Strength,Job_ID,Business_Name,City,Lat,Lon,Job_Type,Plus_Code,Year
304,76,0,228,0,932,670,28,47.81,CS-0015,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Slab,87G6853C+62,2014
380,0,0,228,0,932,670,90,52.91,CS-0016,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Patio,87G6853C+62,2015
139.6,209.4,0,192,0,1047,806.9,90,39.36,CS-0017,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Driveway,87G6853C+62,2016
342,38,0,228,0,932,670,365,56.14,CS-0018,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Foundation,87G6853C+62,2017
380,95,0,228,0,932,594,90,40.56,CS-0019,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Slab,87G6853C+62,2018
475,0,0,228,0,932,594,180,42.62,CS-0020,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Patio,87G6853C+62,2019
427.5,47.5,0,228,0,932,594,180,41.84,CS-0021,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Driveway,87G6853C+62,2020
139.6,209.4,0,192,0,1047,806.9,28,28.24,CS-0022,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Foundation,87G6853C+62,2021
139.6,209.4,0,192,0,1047,806.9,3,8.06,CS-0023,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Slab,87G6853C+62,2022
139.6,209.4,0,192,0,1047,806.9,180,44.21,CS-0024,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Patio,87G6853C+62,2023
380,0,0,228,0,932,670,365,52.52,CS-0025,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Driveway,87G6853C+62,2024
380,0,0,228,0,932,670,270,53.3,CS-0026,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Foundation,87G6853C+62,2025
380,95,0,228,0,932,594,270,41.15,CS-0027,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Slab,87G6853C+62,2013
342,38,0,228,0,932,670,180,52.12,CS-0028,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Patio,87G6853C+62,2014
427.5,47.5,0,228,0,932,594,28,37.43,CS-0029,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Driveway,87G6853C+62,2015
475,0,0,228,0,932,594,7,38.6,CS-0030,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Foundation,87G6853C+62,2016
304,76,0,228,0,932,670,365,55.26,CS-0031,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Slab,87G6853C+62,2017
266,114,0,228,0,932,670,365,52.91,CS-0032,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Patio,87G6853C+62,2018
198.6,132.4,0,192,0,978.4,825.5,180,41.72,CS-0033,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Driveway,87G6853C+62,2019
475,0,0,228,0,932,594,270,42.13,CS-0034,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Foundation,87G6853C+62,2020
190,190,0,228,0,932,670,365,53.69,CS-0035,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Slab,87G6853C+62,2021
237.5,237.5,0,228,0,932,594,270,38.41,CS-0036,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Patio,87G6853C+62,2022
237.5,237.5,0,228,0,932,594,28,30.08,CS-0037,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Driveway,87G6853C+62,2023
332.5,142.5,0,228,0,932,594,90,37.72,CS-0038,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Foundation,87G6853C+62,2024
475,0,0,228,0,932,594,90,42.23,CS-0039,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Slab,87G6853C+62,2025
237.5,237.5,0,228,0,932,594,180,36.25,CS-0040,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Patio,87G6853C+62,2013
342,38,0,228,0,932,670,90,50.46,CS-0041,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Driveway,87G6853C+62,2014
427.5,47.5,0,228,0,932,594,365,43.7,CS-0042,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Foundation,87G6853C+62,2015
237.5,237.5,0,228,0,932,594,365,39,CS-0043,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Slab,87G6853C+62,2016
380,0,0,228,0,932,670,180,53.1,CS-0044,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Patio,87G6853C+62,2017
427.5,47.5,0,228,0,932,594,90,41.54,CS-0045,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Driveway,87G6853C+62,2018
427.5,47.5,0,228,0,932,594,7,35.08,CS-0046,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Foundation,87G6853C+62,2019
349,0,0,192,0,1047,806.9,3,15.05,CS-0047,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Slab,87G6853C+62,2020
380,95,0,228,0,932,594,180,40.76,CS-0048,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Patio,87G6853C+62,2021
237.5,237.5,0,228,0,932,594,7,26.26,CS-0049,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Driveway,87G6853C+62,2022
380,95,0,228,0,932,594,7,32.82,CS-0050,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Foundation,87G6853C+62,2023
332.5,142.5,0,228,0,932,594,180,39.78,CS-0051,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Slab,87G6853C+62,2024
190,190,0,228,0,932,670,180,46.93,CS-0052,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Patio,87G6853C+62,2025
237.5,237.5,0,228,0,932,594,90,33.12,CS-0053,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Driveway,87G6853C+62,2013
304,76,0,228,0,932,670,90,49.19,CS-0054,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Foundation,87G6853C+62,2014
139.6,209.4,0,192,0,1047,806.9,7,14.59,CS-0055,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Slab,87G6853C+62,2015
198.6,132.4,0,192,0,978.4,825.5,7,14.64,CS-0056,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Patio,87G6853C+62,2016
475,0,0,228,0,932,594,365,41.93,CS-0057,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Driveway,87G6853C+62,2017
198.6,132.4,0,192,0,978.4,825.5,3,9.13,CS-0058,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Foundation,87G6853C+62,2018
304,76,0,228,0,932,670,180,50.95,CS-0059,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Slab,87G6853C+62,2019
332.5,142.5,0,228,0,932,594,28,33.02,CS-0060,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Patio,87G6853C+62,2020
304,76,0,228,0,932,670,270,54.38,CS-0061,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Driveway,87G6853C+62,2021
266,114,0,228,0,932,670,270,51.73,CS-0062,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Foundation,87G6853C+62,2022
310,0,0,192,0,971,850.6,3,9.87,CS-0063,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Slab,87G6853C+62,2023
190,190,0,228,0,932,670,270,50.66,CS-0064,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Patio,87G6853C+62,2024
266,114,0,228,0,932,670,180,48.7,CS-0065,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Driveway,87G6853C+62,2025
342,38,0,228,0,932,670,270,55.06,CS-0066,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Foundation,87G6853C+62,2013
139.6,209.4,0,192,0,1047,806.9,360,44.7,CS-0067,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Slab,87G6853C+62,2014
332.5,142.5,0,228,0,932,594,7,30.28,CS-0068,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Patio,87G6853C+62,2015
190,190,0,228,0,932,670,28,40.86,CS-0069,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Driveway,87G6853C+62,2016
485,0,0,146,0,1120,800,28,71.99,CS-0070,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Foundation,87G6853C+62,2017
374,189.2,0,170.1,10.1,926.1,756.7,3,34.4,CS-0071,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Slab,87G6853C+62,2018
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8,CS-0072,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Patio,87G6853C+62,2019
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,CS-0073,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Driveway,87G6853C+62,2020
425,106.3,0,151.4,18.6,936,803.7,3,36.3,CS-0074,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Foundation,87G6853C+62,2021
375,93.8,0,126.6,23.4,852.1,992.6,3,29,CS-0075,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Slab,87G6853C+62,2022
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8,CS-0076,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Patio,87G6853C+62,2023
469,117.2,0,137.8,32.2,852.1,840.5,3,40.2,CS-0077,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Driveway,87G6853C+62,2024
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,CS-0078,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Foundation,87G6853C+62,2025
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1,CS-0079,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Slab,87G6853C+62,2013
531.3,0,0,141.8,28.2,852.1,893.7,3,41.3,CS-0080,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Patio,87G6853C+62,2014
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4,CS-0081,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Driveway,87G6853C+62,2015
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2,CS-0082,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Foundation,87G6853C+62,2016
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1,CS-0083,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Slab,87G6853C+62,2017
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,CS-0084,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Patio,87G6853C+62,2018
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3,CS-0085,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Driveway,87G6853C+62,2019
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6,CS-0086,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Foundation,87G6853C+62,2020
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,CS-0087,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Slab,87G6853C+62,2021
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4,CS-0088,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Patio,87G6853C+62,2022
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,CS-0089,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Driveway,87G6853C+62,2023
439,177,0,186,11.1,884.9,707.9,3,39.3,CS-0090,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Foundation,87G6853C+62,2024
389.9,189,0,145.9,22,944.7,755.8,3,40.6,CS-0091,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Slab,87G6853C+62,2025
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3,CS-0092,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Patio,87G6853C+62,2013
337.9,189,0,174.9,9.5,944.7,755.8,3,24.1,CS-0093,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Driveway,87G6853C+62,2014
374,189.2,0,170.1,10.1,926.1,756.7,7,46.2,CS-0094,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Foundation,87G6853C+62,2015
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8,CS-0095,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Slab,87G6853C+62,2016
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2,CS-0096,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Patio,87G6853C+62,2017
425,106.3,0,151.4,18.6,936,803.7,7,46.8,CS-0097,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Driveway,87G6853C+62,2018
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7,CS-0098,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Foundation,87G6853C+62,2019
475,118.8,0,181.1,8.9,852.1,781.5,7,55.6,CS-0099,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Slab,87G6853C+62,2020
469,117.2,0,137.8,32.2,852.1,840.5,7,54.9,CS-0100,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Patio,87G6853C+62,2021
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2,CS-0101,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Driveway,87G6853C+62,2022
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9,CS-0102,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Foundation,87G6853C+62,2023
531.3,0,0,141.8,28.2,852.1,893.7,7,46.9,CS-0103,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Slab,87G6853C+62,2024
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2,CS-0104,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Patio,87G6853C+62,2025
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4,CS-0105,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Driveway,87G6853C+62,2013
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1,CS-0106,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Foundation,87G6853C+62,2014
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,CS-0107,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Slab,87G6853C+62,2015
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8,CS-0108,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Pottstown,40.245,-75.65,Patio,87G6853C+62,2016
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1,CS-0109,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Birdsboro,40.264,-75.81,Driveway,87G6853C+62,2017
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9,CS-0110,"Hoffman Concrete Contractors, 461 Rugby Rd, Birdsboro, PA 19508, 461 Rugby Rd, Birdsboro, PA 19508",Reading,40.335,-75.93,Foundation,87G6853C+62,2018
